"year","team","g","date","start_et","away_indicator","opponent","x_4","x_5","tm","opp","w","l","streak","diff","avg_diff","away","daysbetweengames"
2013,"ATL",1,"Fri, Nov 2, 2012","7:30p","","Houston Rockets","L","",102,109,0,1,"L 1",-7,-7,0,NA
2013,"ATL",2,"Sun, Nov 4, 2012","7:00p","@","Oklahoma City Thunder","W","",104,95,1,1,"W 1",9,1,1,2
2013,"ATL",3,"Wed, Nov 7, 2012","7:30p","","Indiana Pacers","W","",89,86,2,1,"W 2",3,1.66666666666667,1,3
2013,"ATL",4,"Fri, Nov 9, 2012","7:30p","","Miami Heat","L","",89,95,2,2,"L 1",-6,-0.25,1,2
2013,"ATL",5,"Sun, Nov 11, 2012","3:30p","@","Los Angeles Clippers","L","",76,89,2,3,"L 2",-13,-2.8,2,2
2013,"ATL",6,"Mon, Nov 12, 2012","10:00p","@","Portland Trail Blazers","W","",95,87,3,3,"W 1",8,-1,3,1
2013,"ATL",7,"Wed, Nov 14, 2012","10:30p","@","Golden State Warriors","L","",88,92,3,4,"L 1",-4,-1.42857142857143,4,2
2013,"ATL",8,"Fri, Nov 16, 2012","10:00p","@","Sacramento Kings","W","",112,96,4,4,"W 1",16,0.75,5,2
2013,"ATL",9,"Mon, Nov 19, 2012","7:30p","","Orlando Magic","W","",81,72,5,4,"W 2",9,1.66666666666667,5,3
2013,"ATL",10,"Wed, Nov 21, 2012","7:30p","","Washington Wizards","W","OT",101,100,6,4,"W 3",1,1.6,5,2
2013,"ATL",11,"Fri, Nov 23, 2012","7:00p","@","Charlotte Bobcats","W","",101,91,7,4,"W 4",10,2.36363636363636,6,2
2013,"ATL",12,"Sat, Nov 24, 2012","7:00p","","Los Angeles Clippers","W","",104,93,8,4,"W 5",11,3.08333333333333,6,1
2013,"ATL",13,"Wed, Nov 28, 2012","7:30p","","Charlotte Bobcats","W","",94,91,9,4,"W 6",3,3.07692307692308,6,4
2013,"ATL",14,"Fri, Nov 30, 2012","7:30p","","Cleveland Cavaliers","L","",111,113,9,5,"L 1",-2,2.71428571428571,6,2
2013,"ATL",15,"Wed, Dec 5, 2012","8:00p","","Denver Nuggets","W","",108,104,10,5,"W 1",4,2.8,6,5
2013,"ATL",16,"Fri, Dec 7, 2012","7:30p","","Washington Wizards","W","",104,95,11,5,"W 2",9,3.1875,6,2
2013,"ATL",17,"Sat, Dec 8, 2012","8:00p","@","Memphis Grizzlies","W","",93,83,12,5,"W 3",10,3.58823529411765,7,1
2013,"ATL",18,"Mon, Dec 10, 2012","7:30p","@","Miami Heat","L","",92,101,12,6,"L 1",-9,2.88888888888889,8,2
2013,"ATL",19,"Wed, Dec 12, 2012","7:00p","@","Orlando Magic","W","",86,80,13,6,"W 1",6,3.05263157894737,9,2
2013,"ATL",20,"Thu, Dec 13, 2012","7:30p","","Charlotte Bobcats","W","",113,90,14,6,"W 2",23,4.05,9,1
2013,"ATL",21,"Sat, Dec 15, 2012","7:00p","","Golden State Warriors","L","",93,115,14,7,"L 1",-22,2.80952380952381,9,2
2013,"ATL",22,"Tue, Dec 18, 2012","7:00p","@","Washington Wizards","W","OT",100,95,15,7,"W 1",5,2.90909090909091,10,3
2013,"ATL",23,"Wed, Dec 19, 2012","7:30p","","Oklahoma City Thunder","L","",92,100,15,8,"L 1",-8,2.43478260869565,10,1
2013,"ATL",24,"Fri, Dec 21, 2012","7:00p","@","Philadelphia 76ers","L","",80,99,15,9,"L 2",-19,1.54166666666667,11,2
2013,"ATL",25,"Sat, Dec 22, 2012","7:00p","","Chicago Bulls","W","",92,75,16,9,"W 1",17,2.16,11,1
2013,"ATL",26,"Wed, Dec 26, 2012","7:30p","","Detroit Pistons","W","2OT",126,119,17,9,"W 2",7,2.34615384615385,11,4
2013,"ATL",27,"Fri, Dec 28, 2012","7:30p","@","Cleveland Cavaliers","W","",102,94,18,9,"W 3",8,2.55555555555556,12,2
2013,"ATL",28,"Sat, Dec 29, 2012","7:00p","","Indiana Pacers","W","",109,100,19,9,"W 4",9,2.78571428571429,12,1
2013,"ATL",29,"Mon, Dec 31, 2012","7:00p","@","Houston Rockets","L","",104,123,19,10,"L 1",-19,2.03448275862069,13,2
2013,"ATL",30,"Tue, Jan 1, 2013","8:00p","@","New Orleans Hornets","W","",95,86,20,10,"W 1",9,2.26666666666667,14,1
2013,"ATL",31,"Fri, Jan 4, 2013","7:30p","@","Detroit Pistons","L","",84,85,20,11,"L 1",-1,2.16129032258065,15,3
2013,"ATL",32,"Sat, Jan 5, 2013","7:00p","","Boston Celtics","L","",81,89,20,12,"L 2",-8,1.84375,15,1
2013,"ATL",33,"Tue, Jan 8, 2013","8:00p","@","Minnesota Timberwolves","L","",103,108,20,13,"L 3",-5,1.63636363636364,16,3
